const_cd,const_nm,winner19,winner24,con24,green24,lab24,ld24,other24,pc24,ref24,snp24,con19,lab19,ld19,green19,snp19,pc19,brx19,other19
E14001201,Dorking and Horley,Con,ld,29.8%,6.7%,16.4%,35.5%,0.0%,0.0%,11.6%,0.0%,51.2%,9.9%,32.1%,4.2%,0.0%,0.0%,0.0%,2.6%
E14001202,Dover and Deal,Con,lab,26.4%,4.9%,52.1%,4.1%,0.9%,0.0%,11.6%,0.0%,56.9%,32.6%,5.7%,2.7%,0.0%,0.0%,0.0%,2.1%
E14001203,Droitwich and Evesham,Con,lab,33.7%,7.2%,36.2%,7.1%,1.1%,0.0%,14.8%,0.0%,65.7%,17.0%,12.0%,4.0%,0.0%,0.0%,0.0%,1.2%
E14001204,Dudley,Con,lab,28.8%,7.5%,38.6%,6.2%,0.8%,0.0%,18.2%,0.0%,63.2%,30.9%,3.8%,2.1%,0.0%,0.0%,0.0%,0.0%
E14001205,Dulwich and West Norwood,Lab,lab,8.6%,13.7%,67.7%,3.0%,2.6%,0.0%,4.3%,0.0%,16.6%,64.5%,1.0%,16.2%,0.0%,0.0%,1.1%,0.6%
E14001206,Dunstable and Leighton Buzzard,Con,lab,27.1%,6.2%,41.1%,7.2%,0.7%,0.0%,17.7%,0.0%,58.7%,26.8%,10.8%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001207,Ealing Central and Acton,Lab,lab,14.7%,6.7%,55.6%,12.8%,2.5%,0.0%,7.6%,0.0%,25.6%,52.3%,17.3%,3.4%,0.0%,0.0%,1.4%,0.0%
E14001208,Ealing North,Lab,lab,17.6%,5.7%,56.4%,6.3%,7.7%,0.0%,6.2%,0.0%,31.9%,56.3%,8.8%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001209,Ealing Southall,Lab,lab,14.7%,12.9%,54.9%,7.7%,1.9%,0.0%,7.8%,0.0%,23.9%,59.7%,9.8%,3.8%,0.0%,0.0%,1.9%,0.9%
E14001210,Earley and Woodley,Con,lab,30.0%,6.2%,43.4%,18.4%,2.0%,0.0%,0.0%,0.0%,48.8%,26.7%,21.8%,2.2%,0.0%,0.0%,0.5%,0.0%
E14001211,Easington,Lab,lab,11.1%,3.1%,46.0%,3.1%,14.2%,0.0%,22.5%,0.0%,27.1%,46.8%,4.1%,0.3%,0.0%,0.0%,18.1%,3.6%
E14001212,East Grinstead and Uckfield,Con,con,40.0%,6.0%,27.1%,26.0%,0.9%,0.0%,0.0%,0.0%,58.5%,13.6%,23.0%,4.9%,0.0%,0.0%,0.0%,0.0%
E14001213,East Ham,Lab,lab,10.8%,5.7%,66.0%,5.3%,6.3%,0.0%,6.0%,0.0%,14.6%,77.8%,3.6%,1.6%,0.0%,0.0%,2.0%,0.5%
E14001214,East Hampshire,Con,ld,30.9%,5.1%,21.8%,33.0%,0.8%,0.0%,8.4%,0.0%,59.0%,12.3%,21.7%,5.5%,0.0%,0.0%,0.0%,1.5%
E14001215,East Surrey,Con,con,34.7%,5.5%,24.5%,17.9%,2.1%,0.0%,15.3%,0.0%,60.3%,13.2%,20.4%,3.0%,0.0%,0.0%,0.0%,3.1%
E14001216,East Thanet,Con,lab,24.8%,5.4%,47.5%,5.1%,0.7%,0.0%,16.6%,0.0%,53.5%,37.6%,5.2%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001217,East Wiltshire,Con,con,30.9%,5.9%,29.6%,17.5%,0.9%,0.0%,15.2%,0.0%,65.9%,15.9%,14.5%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001218,East Worthing and Shoreham,Con,lab,22.4%,4.4%,58.6%,5.8%,0.6%,0.0%,8.1%,0.0%,51.0%,37.0%,7.8%,3.8%,0.0%,0.0%,0.0%,0.5%
