const_cd,const_nm,winner19,winner24,con24,green24,lab24,ld24,other24,pc24,ref24,snp24,con19,lab19,ld19,green19,snp19,pc19,brx19,other19
E14001105,Blackpool South,Con,lab,20.0%,2.9%,55.5%,3.3%,0.9%,0.0%,17.3%,0.0%,48.8%,40.1%,3.5%,1.9%,0.0%,0.0%,4.7%,0.9%
E14001106,Blaydon and Consett,Lab,lab,15.3%,3.8%,53.5%,3.5%,1.3%,0.0%,22.6%,0.0%,34.9%,44.0%,4.6%,3.0%,0.0%,0.0%,9.7%,3.9%
E14001107,Blyth and Ashington,Lab,lab,14.2%,4.5%,62.4%,4.4%,0.0%,0.0%,14.5%,0.0%,33.5%,47.7%,6.4%,2.9%,0.0%,0.0%,9.1%,0.4%
E14001108,Bognor Regis and Littlehampton,Con,lab,32.5%,4.9%,36.8%,9.2%,1.1%,0.0%,15.4%,0.0%,62.2%,19.0%,13.3%,3.3%,0.0%,0.0%,0.0%,2.3%
E14001109,Bolsover,Con,lab,22.9%,4.8%,46.9%,4.0%,0.0%,0.0%,21.4%,0.0%,47.7%,36.2%,3.8%,1.6%,0.0%,0.0%,8.6%,2.2%
E14001110,Bolton North East,Con,lab,19.6%,3.9%,44.7%,6.4%,2.1%,0.0%,23.3%,0.0%,45.0%,42.4%,4.4%,1.6%,0.0%,0.0%,6.5%,0.0%
E14001111,Bolton South and Walkden,Lab,lab,13.3%,5.3%,52.4%,3.5%,8.9%,0.0%,16.6%,0.0%,31.7%,56.6%,3.9%,2.4%,0.0%,0.0%,5.4%,0.0%
E14001112,Bolton West,Con,lab,24.9%,3.5%,46.9%,5.6%,1.1%,0.0%,17.9%,0.0%,56.5%,35.2%,5.6%,1.8%,0.0%,0.0%,0.8%,0.0%
E14001113,Bootle,Lab,lab,4.9%,3.0%,82.0%,2.9%,0.5%,0.0%,6.6%,0.0%,9.2%,79.4%,3.7%,2.4%,0.0%,0.0%,5.3%,0.0%
E14001114,Boston and Skegness,Con,con,36.4%,3.4%,29.1%,5.7%,2.6%,0.0%,22.8%,0.0%,76.4%,15.6%,4.8%,0.0%,0.0%,0.0%,0.0%,3.2%
E14001115,Bournemouth East,Con,lab,22.0%,5.7%,46.1%,8.2%,2.4%,0.0%,15.5%,0.0%,50.6%,32.7%,11.0%,4.2%,0.0%,0.0%,0.0%,1.5%
E14001116,Bournemouth West,Con,lab,23.3%,7.3%,45.7%,5.5%,2.1%,0.0%,16.1%,0.0%,53.6%,31.8%,10.1%,4.5%,0.0%,0.0%,0.0%,0.0%
E14001117,Bracknell,Con,lab,25.8%,5.8%,36.6%,14.7%,0.9%,0.0%,16.3%,0.0%,55.5%,25.4%,14.0%,4.0%,0.0%,0.0%,0.0%,1.2%
E14001118,Bradford East,Lab,lab,11.3%,15.4%,54.1%,6.1%,2.9%,0.0%,10.2%,0.0%,21.7%,63.0%,7.7%,1.5%,0.0%,0.0%,6.2%,0.0%
E14001119,Bradford South,Lab,lab,20.0%,10.1%,51.5%,3.7%,1.6%,0.0%,13.1%,0.0%,40.1%,46.7%,3.7%,2.5%,0.0%,0.0%,7.0%,0.0%
E14001120,Bradford West,Lab,lab,7.8%,8.0%,59.1%,3.4%,15.0%,0.0%,6.7%,0.0%,15.2%,76.2%,3.0%,1.8%,0.0%,0.0%,3.5%,0.2%
E14001121,Braintree,Con,lab,29.7%,3.6%,30.3%,7.3%,5.1%,0.0%,24.0%,0.0%,67.5%,18.2%,9.7%,0.5%,0.0%,0.0%,0.0%,4.2%
E14001122,Brent East,Lab,lab,12.9%,7.8%,61.4%,9.2%,2.1%,0.0%,6.6%,0.0%,23.5%,63.8%,9.0%,3.2%,0.0%,0.0%,0.4%,0.0%
E14001123,Brent West,Lab,lab,20.0%,8.7%,55.4%,7.5%,2.1%,0.0%,6.3%,0.0%,33.8%,53.3%,9.1%,1.7%,0.0%,0.0%,1.5%,0.6%
E14001124,Brentford and Isleworth,Lab,lab,16.3%,5.8%,53.4%,14.1%,2.4%,0.0%,8.0%,0.0%,28.3%,50.3%,16.3%,3.0%,0.0%,0.0%,2.1%,0.0%
E14001125,Brentwood and Ongar,Con,con,37.9%,9.1%,26.0%,11.1%,1.0%,0.0%,14.8%,0.0%,68.5%,13.7%,13.6%,3.2%,0.0%,0.0%,0.0%,1.0%
E14001126,Bridgwater,Con,lab,22.0%,4.0%,37.0%,12.3%,3.5%,0.0%,21.3%,0.0%,57.9%,20.7%,17.6%,2.1%,0.0%,0.0%,0.0%,1.7%
E14001127,Bridlington and The Wolds,Con,con,33.2%,8.0%,23.9%,12.0%,1.7%,0.0%,21.2%,0.0%,66.6%,19.9%,7.5%,2.8%,0.0%,0.0%,0.0%,3.2%
E14001128,Brigg and Immingham,Con,con,30.9%,7.7%,27.9%,4.3%,0.0%,0.0%,29.2%,0.0%,71.9%,20.2%,4.4%,2.8%,0.0%,0.0%,0.7%,0.0%
E14001129,Brighton Kemptown and Peacehaven,Lab,lab,20.6%,7.4%,62.2%,5.6%,4.2%,0.0%,0.0%,0.0%,34.4%,51.2%,6.0%,5.7%,0.0%,0.0%,2.7%,0.0%
E14001130,Brighton Pavilion,Green,green,7.1%,65.4%,19.2%,1.3%,1.7%,0.0%,5.3%,0.0%,17.7%,22.7%,0.0%,57.0%,0.0%,0.0%,1.3%,1.2%
E14001131,Bristol Central,Lab,green,6.4%,44.4%,41.0%,1.6%,0.8%,0.0%,5.7%,0.0%,14.3%,58.5%,0.0%,26.0%,0.0%,0.0%,1.2%,0.0%
E14001132,Bristol East,Lab,lab,15.4%,8.9%,67.1%,7.2%,1.4%,0.0%,0.0%,0.0%,23.3%,58.4%,6.9%,8.4%,0.0%,0.0%,2.9%,0.0%
E14001133,Bristol North East,Lab,lab,16.9%,8.8%,57.4%,3.6%,1.0%,0.0%,12.3%,0.0%,39.1%,50.3%,5.1%,4.0%,0.0%,0.0%,1.5%,0.0%
E14001134,Bristol North West,Lab,lab,16.2%,20.6%,49.0%,4.8%,2.1%,0.0%,7.3%,0.0%,36.5%,48.9%,8.1%,6.4%,0.0%,0.0%,0.1%,0.0%
E14001135,Bristol South,Lab,lab,13.4%,7.8%,60.9%,3.9%,1.6%,0.0%,12.3%,0.0%,32.8%,51.6%,6.2%,5.1%,0.0%,0.0%,4.3%,0.0%
E14001136,Broadland and Fakenham,Con,lab,33.7%,4.3%,40.8%,10.9%,0.0%,0.0%,10.3%,0.0%,59.1%,21.6%,16.1%,2.5%,0.0%,0.0%,0.0%,0.7%
E14001137,Bromley and Biggin Hill,Con,lab,29.1%,7.1%,32.8%,13.5%,1.2%,0.0%,16.3%,0.0%,54.4%,25.1%,16.0%,3.7%,0.0%,0.0%,0.0%,0.8%
E14001138,Bromsgrove,Con,lab,33.3%,4.7%,38.8%,9.1%,0.7%,0.0%,13.4%,0.0%,63.4%,20.8%,12.5%,3.3%,0.0%,0.0%,0.0%,0.0%
E14001139,Broxbourne,Con,con,33.7%,4.4%,33.4%,8.9%,0.9%,0.0%,18.7%,0.0%,64.2%,24.0%,9.0%,2.8%,0.0%,0.0%,0.0%,0.0%
E14001140,Broxtowe,Con,lab,20.4%,5.6%,52.3%,2.6%,2.2%,0.0%,16.9%,0.0%,45.2%,38.0%,0.5%,3.0%,0.0%,0.0%,0.7%,12.6%
E14001141,Buckingham and Bletchley,Con,lab,30.1%,6.2%,35.0%,11.9%,1.3%,0.0%,15.5%,0.0%,53.1%,27.7%,15.4%,1.2%,0.0%,0.0%,1.0%,1.7%
E14001142,Burnley,Con,lab,20.0%,3.6%,51.4%,7.0%,4.1%,0.0%,13.8%,0.0%,40.5%,40.2%,7.7%,1.8%,0.0%,0.0%,7.1%,2.7%
E14001143,Burton and Uttoxeter,Con,lab,31.0%,7.6%,32.8%,8.9%,4.7%,0.0%,15.0%,0.0%,60.7%,30.9%,5.5%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001144,Bury North,Con,lab,22.4%,4.1%,54.4%,3.6%,1.1%,0.0%,14.3%,0.0%,47.3%,44.9%,3.1%,1.8%,0.0%,0.0%,2.7%,0.3%
E14001145,Bury South,Con,lab,20.3%,4.6%,54.6%,4.3%,1.8%,0.0%,14.3%,0.0%,43.5%,41.6%,6.2%,1.8%,0.0%,0.0%,3.7%,3.3%
E14001146,Bury St Edmunds and Stowmarket,Con,con,29.8%,8.9%,28.9%,8.0%,1.4%,0.0%,23.0%,0.0%,62.9%,20.8%,1.1%,12.4%,0.0%,0.0%,0.0%,2.7%
E14001147,Calder Valley,Con,lab,22.5%,3.6%,51.7%,4.1%,1.2%,0.0%,16.9%,0.0%,51.4%,42.3%,5.1%,0.0%,0.0%,0.0%,0.0%,1.3%
E14001148,Camborne and Redruth,Con,lab,22.7%,3.9%,46.5%,7.0%,0.9%,0.0%,18.9%,0.0%,53.3%,34.2%,8.5%,2.8%,0.0%,0.0%,0.0%,1.3%
E14001149,Cambridge,Lab,lab,10.9%,11.2%,40.4%,36.2%,1.2%,0.0%,0.0%,0.0%,14.8%,47.4%,31.2%,4.2%,0.0%,0.0%,1.9%,0.5%
E14001150,Cannock Chase,Con,con,30.4%,11.3%,30.2%,2.8%,0.0%,0.0%,25.3%,0.0%,68.3%,25.4%,0.0%,6.3%,0.0%,0.0%,0.0%,0.0%
E14001151,Canterbury,Lab,lab,21.6%,4.3%,56.0%,5.1%,1.0%,0.0%,11.9%,0.0%,44.8%,48.6%,5.7%,0.0%,0.0%,0.0%,0.0%,0.9%
E14001152,Carlisle,Con,lab,28.4%,3.7%,46.6%,6.3%,3.0%,0.0%,12.0%,0.0%,56.5%,34.5%,5.0%,1.6%,0.0%,0.0%,0.0%,2.4%
E14001153,Carshalton and Wallington,Con,ld,22.8%,3.5%,22.5%,38.5%,0.9%,0.0%,11.9%,0.0%,42.4%,12.4%,41.1%,1.5%,0.0%,0.0%,2.1%,0.4%
E14001154,Castle Point,Con,con,41.1%,3.6%,28.4%,7.4%,0.0%,0.0%,19.7%,0.0%,76.5%,16.8%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%
E14001155,Central Devon,Con,lab,24.6%,8.7%,40.5%,11.4%,2.5%,0.0%,12.3%,0.0%,55.3%,24.8%,15.0%,4.9%,0.0%,0.0%,0.0%,0.0%
E14001156,Central Suffolk and North Ipswich,Con,con,33.7%,9.7%,30.8%,10.2%,0.9%,0.0%,14.6%,0.0%,61.9%,21.8%,10.6%,5.6%,0.0%,0.0%,0.0%,0.0%
E14001157,Chatham and Aylesford,Con,lab,34.0%,5.1%,36.4%,6.3%,1.5%,0.0%,16.7%,0.0%,65.9%,24.4%,6.7%,2.5%,0.0%,0.0%,0.0%,0.5%
E14001158,Cheadle,Con,ld,23.2%,2.4%,20.4%,41.2%,0.6%,0.0%,12.1%,0.0%,46.0%,12.3%,41.8%,0.0%,0.0%,0.0%,0.0%,0.0%
E14001159,Chelmsford,Con,con,32.2%,4.7%,26.6%,28.1%,0.9%,0.0%,7.4%,0.0%,54.7%,18.1%,26.1%,0.0%,0.0%,0.0%,0.0%,1.1%
E14001160,Chelsea and Fulham,Con,lab,24.1%,5.9%,35.9%,18.2%,1.5%,0.0%,14.4%,0.0%,45.5%,29.1%,23.8%,0.4%,0.0%,0.0%,0.3%,0.9%
E14001161,Cheltenham,Con,ld,22.7%,2.4%,11.1%,61.7%,2.1%,0.0%,0.0%,0.0%,48.5%,4.8%,46.0%,0.0%,0.0%,0.0%,0.0%,0.8%
E14001162,Chesham and Amersham,Con,ld,20.5%,2.9%,9.4%,51.5%,8.2%,0.0%,7.5%,0.0%,56.3%,13.9%,22.4%,4.8%,0.0%,0.0%,0.0%,2.5%
E14001163,Chester North and Neston,Lab,lab,16.6%,3.8%,58.6%,6.2%,0.0%,0.0%,14.8%,0.0%,38.5%,50.3%,6.2%,2.2%,0.0%,0.0%,2.8%,0.0%
E14001164,Chester South and Eddisbury,Con,lab,27.5%,4.5%,32.3%,13.4%,0.5%,0.0%,21.9%,0.0%,59.2%,21.5%,15.3%,2.1%,0.0%,0.0%,1.0%,0.8%
E14001165,Chesterfield,Lab,lab,16.3%,3.4%,57.8%,4.7%,0.8%,0.0%,17.1%,0.0%,37.0%,40.2%,8.8%,2.5%,0.0%,0.0%,10.6%,0.9%
E14001166,Chichester,Con,con,35.0%,6.1%,19.0%,28.2%,0.8%,0.0%,10.9%,0.0%,58.8%,15.4%,20.3%,4.9%,0.0%,0.0%,0.0%,0.7%
E14001167,Chingford and Woodford Green,Con,lab,26.7%,7.2%,41.0%,7.4%,8.0%,0.0%,9.6%,0.0%,48.2%,45.3%,5.8%,0.4%,0.0%,0.0%,0.3%,0.0%
E14001168,Chippenham,Con,ld,26.4%,3.2%,13.1%,41.4%,0.7%,0.0%,15.2%,0.0%,56.4%,11.7%,30.3%,1.7%,0.0%,0.0%,0.0%,0.0%
E14001169,Chipping Barnet,Con,lab,24.9%,4.5%,52.7%,6.8%,3.5%,0.0%,7.5%,0.0%,47.5%,40.3%,9.8%,2.2%,0.0%,0.0%,0.0%,0.1%
E14001170,Chorley,Spkr,speaker,0.0%,30.1%,0.0%,0.0%,69.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,9.0%,0.0%,0.0%,0.0%,91.0%
E14001171,Christchurch,Con,con,35.9%,5.9%,20.9%,19.1%,2.1%,0.0%,16.0%,0.0%,65.6%,12.9%,17.4%,4.2%,0.0%,0.0%,0.0%,0.0%
E14001172,Cities of London and Westminster,Con,lab,20.1%,7.2%,40.5%,20.9%,1.2%,0.0%,10.2%,0.0%,40.3%,28.9%,28.2%,1.9%,0.0%,0.0%,0.2%,0.4%
E14001173,City of Durham,Lab,lab,14.0%,4.9%,54.2%,9.0%,2.1%,0.0%,15.9%,0.0%,31.9%,40.9%,16.9%,3.3%,0.0%,0.0%,6.6%,0.4%
E14001174,Clacton,Con,con,37.8%,6.6%,24.0%,5.8%,2.6%,0.0%,23.1%,0.0%,71.9%,15.6%,6.2%,2.9%,0.0%,0.0%,0.0%,3.4%
E14001175,Clapham and Brixton Hill,Lab,lab,13.6%,7.6%,49.1%,13.7%,10.0%,0.0%,6.0%,0.0%,19.5%,55.4%,19.8%,4.2%,0.0%,0.0%,1.1%,0.0%
E14001176,Colchester,Con,lab,27.5%,5.2%,40.3%,12.7%,0.9%,0.0%,13.5%,0.0%,52.3%,30.1%,14.7%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001177,Colne Valley,Con,lab,25.2%,7.7%,39.4%,6.5%,1.5%,0.0%,19.6%,0.0%,51.2%,36.2%,7.0%,1.7%,0.0%,0.0%,2.1%,1.7%
E14001178,Congleton,Con,con,34.9%,5.5%,34.6%,12.3%,1.3%,0.0%,11.4%,0.0%,60.6%,24.1%,11.1%,2.9%,0.0%,0.0%,0.0%,1.3%
E14001179,Corby and East Northamptonshire,Con,lab,22.9%,4.3%,49.7%,6.4%,0.4%,0.0%,16.2%,0.0%,54.6%,38.5%,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%
E14001180,Coventry East,Lab,lab,15.4%,7.2%,52.2%,4.7%,1.0%,0.0%,19.6%,0.0%,35.0%,52.1%,5.4%,2.3%,0.0%,0.0%,5.1%,0.0%
E14001181,Coventry North West,Lab,lab,19.7%,5.3%,52.7%,4.3%,1.6%,0.0%,16.4%,0.0%,43.4%,43.8%,5.7%,3.0%,0.0%,0.0%,4.1%,0.0%
E14001182,Coventry South,Lab,lab,17.9%,4.6%,54.7%,5.3%,1.2%,0.0%,16.2%,0.0%,42.5%,44.3%,6.7%,2.6%,0.0%,0.0%,2.9%,0.9%
E14001183,Cramlington and Killingworth,Lab,lab,18.5%,7.5%,46.1%,5.1%,1.0%,0.0%,21.9%,0.0%,39.9%,44.4%,5.2%,2.5%,0.0%,0.0%,8.0%,0.0%
E14001184,Crawley,Con,lab,24.5%,7.0%,44.7%,8.7%,1.1%,0.0%,14.0%,0.0%,54.2%,37.4%,5.5%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001185,Crewe and Nantwich,Con,lab,24.5%,3.8%,49.7%,6.7%,0.9%,0.0%,14.5%,0.0%,50.8%,39.2%,5.1%,1.9%,0.0%,0.0%,2.6%,0.3%
E14001186,Croydon East,Lab,lab,16.7%,4.1%,62.4%,5.3%,0.0%,0.0%,11.5%,0.0%,41.3%,48.1%,6.6%,2.3%,0.0%,0.0%,1.7%,0.0%
E14001187,Croydon South,Con,lab,26.4%,8.3%,36.7%,10.3%,1.1%,0.0%,17.1%,0.0%,54.5%,28.1%,13.5%,2.9%,0.0%,0.0%,0.1%,0.9%
E14001188,Croydon West,Lab,lab,13.3%,8.5%,64.2%,6.4%,2.2%,0.0%,5.4%,0.0%,21.5%,66.7%,7.0%,2.7%,0.0%,0.0%,1.3%,0.8%
E14001189,Dagenham and Rainham,Lab,lab,19.8%,5.0%,52.6%,2.9%,1.2%,0.0%,18.5%,0.0%,43.1%,44.7%,3.0%,1.5%,0.0%,0.0%,6.6%,1.0%
E14001190,Darlington,Con,lab,25.2%,10.1%,47.6%,3.3%,0.0%,0.0%,13.8%,0.0%,49.7%,38.9%,4.6%,2.5%,0.0%,0.0%,3.6%,0.6%
E14001191,Dartford,Con,lab,29.1%,4.8%,46.0%,4.4%,0.0%,0.0%,15.6%,0.0%,61.1%,29.5%,7.0%,2.4%,0.0%,0.0%,0.0%,0.0%
E14001192,Daventry,Con,lab,27.5%,6.5%,34.6%,7.5%,0.0%,0.0%,23.9%,0.0%,64.5%,17.8%,13.1%,4.6%,0.0%,0.0%,0.0%,0.0%
E14001193,Derby North,Con,lab,18.4%,4.3%,57.6%,4.0%,0.0%,0.0%,15.7%,0.0%,45.2%,39.8%,7.3%,2.2%,0.0%,0.0%,4.1%,1.4%
E14001194,Derby South,Lab,lab,17.2%,4.9%,54.1%,6.0%,1.7%,0.0%,16.2%,0.0%,36.9%,51.1%,6.2%,0.0%,0.0%,0.0%,5.8%,0.0%
E14001195,Derbyshire Dales,Con,lab,29.8%,6.6%,33.8%,12.8%,2.2%,0.0%,14.9%,0.0%,59.0%,24.1%,12.8%,4.1%,0.0%,0.0%,0.0%,0.0%
E14001196,Dewsbury and Batley,Lab,lab,13.0%,4.4%,55.7%,4.0%,14.1%,0.0%,8.8%,0.0%,28.7%,59.1%,2.5%,1.1%,0.0%,0.0%,3.4%,5.2%
E14001197,Didcot and Wantage,Con,con,30.3%,3.8%,28.3%,27.8%,1.1%,0.0%,8.8%,0.0%,49.8%,16.0%,31.3%,0.7%,0.0%,0.0%,0.0%,2.2%
E14001198,Doncaster Central,Lab,lab,16.0%,3.9%,58.0%,3.9%,1.3%,0.0%,17.0%,0.0%,36.6%,39.4%,4.1%,2.3%,0.0%,0.0%,15.6%,2.1%
E14001199,Doncaster East and the Isle of Axholme,Con,lab,21.8%,8.7%,32.3%,4.9%,1.0%,0.0%,31.2%,0.0%,52.1%,28.7%,4.4%,2.4%,0.0%,0.0%,10.3%,2.0%
E14001200,Doncaster North,Lab,lab,22.3%,4.5%,66.2%,5.1%,2.0%,0.0%,0.0%,0.0%,33.2%,38.3%,3.6%,0.0%,0.0%,0.0%,20.3%,4.5%
